a,b,geo,year,flags_a,flags_b,value_n,file
,,AT,2003,:,:,,empl_gender_gap_20_64
,,AT,2004,:,:,,empl_gender_gap_20_64
,,AT,2005,:,:,,empl_gender_gap_20_64
,,AT,2006,:,:,,empl_gender_gap_20_64
,,AT,2007,:,:,,empl_gender_gap_20_64
,,AT,2008,:,:,,empl_gender_gap_20_64
78.7,68.2,AT,2009,"","",10.5,empl_gender_gap_20_64
79,68.8,AT,2010,"","",10.2,empl_gender_gap_20_64
79.2,69.2,AT,2011,"","",10,empl_gender_gap_20_64
79.3,69.6,AT,2012,"","",9.7,empl_gender_gap_20_64
79.1,70,AT,2013,"","",9.09999999999999,empl_gender_gap_20_64
78.3,70.1,AT,2014,"","",8.2,empl_gender_gap_20_64
78.4,70.2,AT,2015,"","",8.2,empl_gender_gap_20_64
78.7,70.9,AT,2016,"","",7.8,empl_gender_gap_20_64
79.4,71.4,AT,2017,"","",8,empl_gender_gap_20_64
80.7,71.7,AT,2018,"","",9,empl_gender_gap_20_64
81.2,72.4,AT,2019,"","",8.8,empl_gender_gap_20_64
79,70.6,AT,2020,"","",8.40000000000001,empl_gender_gap_20_64
79.9,71.3,AT,2021,"","",8.60000000000001,empl_gender_gap_20_64
81.2,73.4,AT,2022,"","",7.8,empl_gender_gap_20_64
81.1,73.3,AT,2023,"","",7.8,empl_gender_gap_20_64
80.8,73.9,AT,2024,"","",6.89999999999999,empl_gender_gap_20_64
,,BE,2003,:,:,,empl_gender_gap_20_64
,,BE,2004,:,:,,empl_gender_gap_20_64
,,BE,2005,:,:,,empl_gender_gap_20_64
,,BE,2006,:,:,,empl_gender_gap_20_64
,,BE,2007,:,:,,empl_gender_gap_20_64
,,BE,2008,:,:,,empl_gender_gap_20_64
73.2,61,BE,2009,"","",12.2,empl_gender_gap_20_64
73.5,61.6,BE,2010,"","",11.9,empl_gender_gap_20_64
73,61.5,BE,2011,"","",11.5,empl_gender_gap_20_64
72.7,61.7,BE,2012,"","",11,empl_gender_gap_20_64
72.3,62.1,BE,2013,"","",10.2,empl_gender_gap_20_64
71.6,62.9,BE,2014,"","",8.7,empl_gender_gap_20_64
71.3,63,BE,2015,"","",8.3,empl_gender_gap_20_64
72.3,63,BE,2016,"","",9.3,empl_gender_gap_20_64
73.4,63.6,BE,2017, b, b,9.8,empl_gender_gap_20_64
73.9,65.5,BE,2018,"","",8.40000000000001,empl_gender_gap_20_64
74.5,66.5,BE,2019,"","",8,empl_gender_gap_20_64
73.7,65.6,BE,2020,"","",8.10000000000001,empl_gender_gap_20_64
74.5,66.8,BE,2021,"","",7.7,empl_gender_gap_20_64
75.7,68.1,BE,2022,"","",7.60000000000001,empl_gender_gap_20_64
75.9,68.3,BE,2023,"","",7.60000000000001,empl_gender_gap_20_64
76.3,68.3,BE,2024,"","",8,empl_gender_gap_20_64
,,BG,2003,:,:,,empl_gender_gap_20_64
,,BG,2004,:,:,,empl_gender_gap_20_64
,,BG,2005,:,:,,empl_gender_gap_20_64
,,BG,2006,:,:,,empl_gender_gap_20_64
