geo,year,age,sex,indicator,value_n,flag,file
AT,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,8.2474709069,"",lfse_inactpt_lackcare
BE,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,3.2163893499,"",lfse_inactpt_lackcare
BG,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,0.2537415051,b,lfse_inactpt_lackcare
CY,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,1.1041937041,"",lfse_inactpt_lackcare
CZ,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,1.2408221387,"",lfse_inactpt_lackcare
DE,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,6.4760001641,"",lfse_inactpt_lackcare
DK,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,0.4013313878,"",lfse_inactpt_lackcare
EE,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,1.4662909729,"",lfse_inactpt_lackcare
EL,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,0.7825768057,"",lfse_inactpt_lackcare
ES,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,1.8656742864,"",lfse_inactpt_lackcare
EU27_2020,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,3.0634450675,"",lfse_inactpt_lackcare
EA20,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,3.7206901542,"",lfse_inactpt_lackcare
FI,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,0.7976890713,"",lfse_inactpt_lackcare
FR,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,2.7452689252,"",lfse_inactpt_lackcare
HR,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,0.4760451107,"",lfse_inactpt_lackcare
HU,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,0.5343713709,"",lfse_inactpt_lackcare
IE,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,4.0447141283,"",lfse_inactpt_lackcare
IT,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,1.8003123741,"",lfse_inactpt_lackcare
LT,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,0.28686849,"",lfse_inactpt_lackcare
LU,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,3.9200851889,"",lfse_inactpt_lackcare
LV,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,0.5610798329,b,lfse_inactpt_lackcare
MT,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,1.2194377927,"",lfse_inactpt_lackcare
NL,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,11.291068526,"",lfse_inactpt_lackcare
PL,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,0.8676976994,"",lfse_inactpt_lackcare
PT,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,0.6739354042,"",lfse_inactpt_lackcare
RO,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,0.1323142924,"",lfse_inactpt_lackcare
SE,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,1.4468064945,"",lfse_inactpt_lackcare
SI,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,0.985389444,"",lfse_inactpt_lackcare
SK,2024,Y15-64,T,INACTPT_CARERESP_ONPOP,0.588854685,"",lfse_inactpt_lackcare
AT,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,8.0952978797,"",lfse_inactpt_lackcare
BE,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,3.2598757887,"",lfse_inactpt_lackcare
BG,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,0.253169468,b,lfse_inactpt_lackcare
CY,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,1.0371805656,"",lfse_inactpt_lackcare
CZ,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,1.0966543074,"",lfse_inactpt_lackcare
DE,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,6.2067231713,"",lfse_inactpt_lackcare
DK,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,0.3519616423,"",lfse_inactpt_lackcare
EE,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,1.6378330767,"",lfse_inactpt_lackcare
EL,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,0.9086412013,"",lfse_inactpt_lackcare
ES,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,1.73583862,"",lfse_inactpt_lackcare
EU27_2020,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,3.0744393876,"",lfse_inactpt_lackcare
EA20,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,3.7384035926,"",lfse_inactpt_lackcare
FI,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,1.1502022899,"",lfse_inactpt_lackcare
FR,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,3.0125790106,"",lfse_inactpt_lackcare
HR,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,0.616032252,"",lfse_inactpt_lackcare
HU,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,0.5470916781,"",lfse_inactpt_lackcare
IE,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,3.8775105044,"",lfse_inactpt_lackcare
IT,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,2.0602146243,"",lfse_inactpt_lackcare
LT,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,0.3331951039,"",lfse_inactpt_lackcare
LU,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,3.6374849559,"",lfse_inactpt_lackcare
LV,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,0.4241198281,a,lfse_inactpt_lackcare
MT,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,1.4505419521,"",lfse_inactpt_lackcare
NL,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,11.38561072,"",lfse_inactpt_lackcare
PL,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,0.8773979629,"",lfse_inactpt_lackcare
PT,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,0.5262494346,"",lfse_inactpt_lackcare
RO,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,0.1509450379,"",lfse_inactpt_lackcare
SE,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,1.46622215,"",lfse_inactpt_lackcare
SI,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,1.0173276398,"",lfse_inactpt_lackcare
SK,2023,Y15-64,T,INACTPT_CARERESP_ONPOP,0.5578254418,"",lfse_inactpt_lackcare
AT,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,8.0478200803,"",lfse_inactpt_lackcare
BE,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,3.3575440932,"",lfse_inactpt_lackcare
BG,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,0.2867527269,"",lfse_inactpt_lackcare
CY,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,1.3411517118,"",lfse_inactpt_lackcare
CZ,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,0.8737583594,"",lfse_inactpt_lackcare
DE,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,6.1433198275,"",lfse_inactpt_lackcare
DK,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,0.4332684982,"",lfse_inactpt_lackcare
EE,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,1.7246250985,"",lfse_inactpt_lackcare
EL,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,0.820621279,"",lfse_inactpt_lackcare
ES,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,1.8088752147,"",lfse_inactpt_lackcare
EU27_2020,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,3.0107855616,"",lfse_inactpt_lackcare
EA20,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,3.6705190194,"",lfse_inactpt_lackcare
FI,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,1.0913409634,"",lfse_inactpt_lackcare
FR,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,2.7767090439,"",lfse_inactpt_lackcare
HR,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,0.6233494006,"",lfse_inactpt_lackcare
HU,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,0.6018934271,"",lfse_inactpt_lackcare
IE,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,3.3138499987,"",lfse_inactpt_lackcare
IT,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,2.1195970365,"",lfse_inactpt_lackcare
LT,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,0.3037953033,"",lfse_inactpt_lackcare
LU,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,3.6578025686,"",lfse_inactpt_lackcare
LV,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,0.6187886176,b,lfse_inactpt_lackcare
MT,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,0.9562585365,"",lfse_inactpt_lackcare
NL,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,11.021272669,"",lfse_inactpt_lackcare
PL,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,0.8023787428,"",lfse_inactpt_lackcare
PT,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,0.5996825471,"",lfse_inactpt_lackcare
RO,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,0.1911893497,"",lfse_inactpt_lackcare
SE,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,1.5958519747,"",lfse_inactpt_lackcare
SI,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,1.0156608255,"",lfse_inactpt_lackcare
SK,2022,Y15-64,T,INACTPT_CARERESP_ONPOP,0.454380139,"",lfse_inactpt_lackcare
AT,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,7.4833852668,"",lfse_inactpt_lackcare
BE,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,3.414414032,"",lfse_inactpt_lackcare
BG,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,0.1865093889,b,lfse_inactpt_lackcare
CY,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,1.2852892315,"",lfse_inactpt_lackcare
CZ,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,1.1540258439,"",lfse_inactpt_lackcare
DE,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,6.171717857,"",lfse_inactpt_lackcare
DK,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,0.4124989581,"",lfse_inactpt_lackcare
EE,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,1.5553197625,"",lfse_inactpt_lackcare
EL,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,1.004728833,"",lfse_inactpt_lackcare
ES,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,1.6029206887,"",lfse_inactpt_lackcare
EU27_2020,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,3.0037787852,"",lfse_inactpt_lackcare
EA20,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,3.6287103538,"",lfse_inactpt_lackcare
FI,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,1.1168529039,"",lfse_inactpt_lackcare
FR,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,2.7361415238,"",lfse_inactpt_lackcare
HR,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,0.5610839173,"",lfse_inactpt_lackcare
HU,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,0.6816261355,"",lfse_inactpt_lackcare
IE,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,4.1581307877,"",lfse_inactpt_lackcare
IT,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,2.0741453974,"",lfse_inactpt_lackcare
LT,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,0.2920170514,"",lfse_inactpt_lackcare
LU,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,3.8012581383,"",lfse_inactpt_lackcare
LV,2021,Y15-64,T,INACTPT_CARERESP_ONPOP,0.5865060763,b,lfse_inactpt_lackcare
